movie_title;date_top10;viewership;release_netflix;release_theater;box_office_performance;meta_rating;unique_id;holdback_months
The Shack;11-12-2021;17;10-12-2021;03-03-2017;57386418;32;tt2872518;57
Body of Lies;14-12-2021;3;01-12-2021;10-10-2008;39394666;57;tt0758774;158
Darkest Hour;17-12-2021;1;16-12-2021;22-11-2017;56468410;75;tt4555426;49
Oldboy;23-12-2021;7;18-12-2021;27-11-2013;2193658;49;tt1321511;97
Journey 2: The Mysterious Island;02-01-2022;22;01-01-2022;10-02-2012;103887748;41;tt1397514;119
Rise of the Guardians;02-01-2022;5;01-01-2022;21-11-2012;103412758;58;tt1446192;110
Dark Shadows;02-01-2022;6;01-01-2022;11-05-2012;79727149;55;tt1077368;116
Scary Stories to Tell in the Dark;02-01-2022;4;01-01-2022;09-08-2019;68947075;61;tt3387520;29
The Longest Yard;04-01-2022;18;01-04-2015;27-05-2005;158119460;48;tt0398165;119
The Town;04-01-2022;12;01-07-2020;17-09-2010;92186262;74;tt0840361;118
Just Go with It;05-01-2022;28;22-05-2020;11-02-2011;103028109;33;tt1564367;111
First Sunday;06-01-2022;9;01-01-2022;11-01-2008;37931869;41;tt0486578;168
300;08-01-2022;6;01-01-2022;09-03-2007;210629101;52;tt0416449;178
Girl, Interrupted;08-01-2022;6;01-01-2022;21-12-1999;28912646;51;tt0172493;265
The God Committee;16-01-2022;6;12-01-2022;02-07-2021;32934;48;tt6852526;6
Phantom Thread;17-01-2022;1;16-01-2022;25-12-2017;21198205;90;tt5776858;49
Under Suspicion;18-01-2022;11;01-01-2022;22-09-2000;260562;43;tt0164212;256
Annabelle: Creation;21-01-2022;11;20-01-2022;11-08-2017;102092201;62;tt5140878;53
Paddington;24-01-2022;1;16-01-2022;16-01-2015;76271832;77;tt1109624;84
Despicable Me 2;02-02-2022;80;01-02-2022;03-07-2013;368065385;62;tt1690953;103
The Lucky One;02-02-2022;6;01-02-2022;20-04-2012;60457138;39;tt1327194;118
Despicable Me;04-02-2022;47;16-04-2020;09-07-2010;251557985;72;tt1323594;117
The Hangover;07-02-2022;12;01-07-2019;05-06-2009;277339746;73;tt1119646;121
The Other Guys;09-02-2022;8;01-02-2022;06-08-2010;119219978;64;tt1386588;138
The Kindness of Strangers;10-02-2022;7;09-02-2022;06-12-2019;2705;32;tt6515910;26
St. Vincent;15-02-2022;15;10-08-2016;10-10-2014;44137712;64;tt2170593;22
Blackhat;17-02-2022;13;16-02-2022;16-01-2015;8005980;51;tt2717822;85
Shrek 2;02-03-2022;45;01-03-2022;19-05-2004;441226247;75;tt0298148;214
Contagion;02-03-2022;4;01-03-2022;09-09-2011;75658097;70;tt1598778;126
Battleship;02-03-2022;5;01-03-2022;18-05-2012;65422625;41;tt1440129;118
Just Like Heaven;02-03-2022;7;01-03-2022;16-09-2005;48318130;47;tt0425123;198
21 Bridges;02-03-2022;8;01-03-2022;22-11-2019;28539757;51;tt8688634;28
Shrek;03-03-2022;48;01-05-2018;16-05-2001;268163011;84;tt0126029;204
The Green Mile;06-03-2022;6;16-02-2022;10-12-1999;136801374;61;tt0120689;266
Shooter;07-03-2022;12;01-08-2014;23-03-2007;47003582;53;tt0822854;89
21;09-03-2022;9;08-02-2022;28-03-2008;81159365;48;tt0478087;167
Dunkirk;13-03-2022;6;12-03-2022;21-07-2017;189740665;94;tt5013056;56
London Has Fallen;17-03-2022;10;08-02-2022;04-03-2016;62524260;28;tt3300542;71
A Walk Among the Tombstones;17-03-2022;17;16-03-2022;19-09-2014;26307600;57;tt0365907;90
Blade Runner 2049;27-03-2022;9;26-03-2022;06-10-2017;92071675;81;tt1856101;53
King of Thieves;28-03-2022;6;26-03-2022;25-01-2019;7518;48;tt5789976;38
The Blind Side;03-04-2022;24;01-04-2022;20-11-2009;255982860;53;tt0878804;149
Shrek Forever After;03-04-2022;31;01-04-2022;21-05-2010;238736787;58;tt0892791;143
Sherlock Holmes: A Game of Shadows;03-04-2022;6;08-02-2022;16-12-2011;186848418;48;tt1515091;122
Blade: Trinity;03-04-2022;4;01-04-2022;08-12-2004;52411906;38;tt0359013;208
Argo;04-04-2022;2;01-04-2022;12-10-2012;136025503;86;tt1024648;114
The Rental;04-04-2022;6;02-04-2022;24-07-2020;1637548;62;tt10003008;21
How to Train Your Dragon;06-04-2022;1;08-02-2022;26-03-2010;217581231;75;tt0892769;143
Four Brothers;06-04-2022;11;01-06-2015;12-08-2005;74494381;49;tt0430105;118
Blow;06-04-2022;4;08-02-2022;06-04-2001;52990775;52;tt0221027;250
Molly's Game;07-04-2022;6;08-02-2022;25-12-2017;28780744;71;tt4209788;50
Without a Paddle;08-04-2022;11;01-07-2014;20-08-2004;58169327;29;tt0364751;119
Catch and Release;09-04-2022;9;01-04-2022;26-01-2007;15539051;43;tt0395495;183
The Call;11-04-2022;10;10-04-2022;15-03-2013;51872378;51;tt1911644;109
Ouija: Origin of Evil;17-04-2022;6;08-02-2022;21-10-2016;35144505;65;tt4361050;64
Kung Fu Panda 3;30-04-2022;10;08-02-2022;29-01-2016;143528619;66;tt2267968;73
War of the Worlds;03-05-2022;5;01-05-2022;29-06-2005;234280354;73;tt0407304;203
Rambo: Last Blood;03-05-2022;7;01-05-2022;20-09-2019;44819352;26;tt1206885;32
Rambo;03-05-2022;5;01-05-2022;25-01-2008;42754105;46;tt0462499;172
The Gentlemen;03-05-2022;10;01-05-2022;24-01-2020;36471795;51;tt8367814;28
Forrest Gump;05-05-2022;17;08-02-2022;06-07-1994;330455270;82;tt0109830;331
U.S. Marshals;05-05-2022;14;01-05-2022;06-03-1998;57167405;47;tt0120873;290
Den of Thieves;06-05-2022;17;01-05-2020;19-01-2018;44947622;49;tt1259528;28
42;07-05-2022;7;01-05-2022;12-04-2013;95059709;62;tt0453562;109
Happy Gilmore;07-05-2022;15;01-02-2013;16-02-1996;38824099;31;tt0116483;204
Forgetting Sarah Marshall;10-05-2022;6;16-02-2022;18-04-2008;63172463;67;tt0800039;166
Ben Is Back;22-05-2022;11;20-05-2022;07-12-2018;3703184;66;tt7545524;41
RRR;29-05-2022;8;29-05-2022;25-03-2022;11304478;83;tt8178634;2
The Amazing Spider-Man;02-06-2022;22;08-02-2022;03-07-2012;262030663;66;tt0948470;115
Anchorman: The Legend of Ron Burgundy;02-06-2022;7;01-06-2022;09-07-2004;85288303;63;tt0357413;215
Dumb and Dumber;05-06-2022;9;24-03-2022;16-12-1994;127190327;41;tt0109686;327
Mission: Impossible - Ghost Protocol;06-06-2022;17;08-02-2022;16-12-2011;209397903;73;tt1229238;122
The Hurt Locker;06-06-2022;11;01-06-2022;26-06-2009;17017811;95;tt0887912;156
Mission: Impossible;07-06-2022;4;08-02-2022;22-05-1996;180981856;59;tt0117060;309
Old School;02-07-2022;5;01-07-2022;21-02-2003;75585093;54;tt0302886;233
The Dark Knight Rises;03-07-2022;16;08-02-2022;20-07-2012;448149584;78;tt1345836;115
Zero Dark Thirty;03-07-2022;4;01-07-2022;19-12-2012;95720716;95;tt1790885;115
Contraband;03-07-2022;5;01-07-2022;13-01-2012;66528000;51;tt1524137;126
